id,rus,type,no_class,first_stem,affix,stem,no_class_cyr,first_stem_cyr,affix_cyr,stem_cyr
507,БЕЛЫЙ,,hac'a,,,,гьацІа,,,
508,ЧЕРНЫЙ,3.0,,,b,eč'edir,,,б,ечІедир
508,ЧЕРНЫЙ,4.0,,,r,eč'edir,,,р,ечІедир
510,ЖЕЛТЫЙ,,cak:u,,,,цакку,,,
511,КРАСНЫЙ,,hiri,,,,гьири,,,
512,ЗЕЛЕНЫЙ,,χ:ᵂoči,,,,ххвочи,,,
513,СИНИЙ,,qᵂoj,,,,хъвой,,,
514,ГОРЬКИЙ,,buƛ'in,,,,букьин,,,
515,КИСЛЫЙ,,c':ik':u,,,,цІцІикІкІу,,,
516,СЛАДКИЙ,,mic':a,,,,мицІцІа,,,
517,КРУГЛЫЙ,,gurguma,,,,гургума,,,
518,ДЛИННЫЙ,1.0,,,w,oχ:ula,,,в,оххула
518,ДЛИННЫЙ,2.0,,,j,eχ:ula,,,й,еххула
519,ВЫСОКИЙ,,hirc'i,,,,гьирцІи,,,
520,КОРОТКИЙ,5.0,,,b,očo,,,б,очо
520,КОРОТКИЙ,4.0,,,r,očo,,,р,очо
521,БОЛЬШОЙ,5.0,,,b,eč'uχwa,,,б,ечІухва
521,БОЛЬШОЙ,4.0,,,r,eč'uχwa,,,р,ечІухва
522,МАЛЕНЬКИЙ,,mič'i,,,,мичІи,,,
523,МЕЛКИЙ (по размеру),,č'ant'i,,,,чІантІи,,,
524,ГЛУБОКИЙ,,ɢudi,,,,къгуди,,,
525,ШИРОКИЙ,,ɢab,,,,къгаб,,,
526,УЗКИЙ,,č':it'ir,,,,чІчІитІир,,,
527,ТОЛСТЫЙ,1.0,,,w,uši,,,в,уши
527,ТОЛСТЫЙ,2.0,,,j,iši,,,й,иши
528,ТОНКИЙ,1.0,,,w,olora,,,в,олора
528,ТОНКИЙ,2.0,,,j,elora,,,й,елора
529,ТЯЖЕЛЫЙ,,hok'oru,,,,гьокІору,,,
530,ЛЕГКИЙ,,ɬolkoɬi,,,,лъолколъи,,,
531,СЛЕПОЙ,,bot'i,,,,ботІи,,,
532,ГЛУХОЙ,,ɢᵂoɢi,,,,къгвокъги,,,
533,ХРОМОЙ,,req'u,,,,рекъу,,,
534,СТАРЫЙ (о человеке),1.0,,,w,oχor,,,в,охор
534,СТАРЫЙ (о человеке),2.0,,,j,oχor,,,й,охор
535,ХУДОЙ,,qella,,,,хъелла,,,
536,"ПОЛНЫЙ, СЫТЫЙ (о людях и животных)",1.0,,,w,uc'ib,,,в,уцІиб
536,"ПОЛНЫЙ, СЫТЫЙ (о людях и животных)",2.0,,,j,ic'ib,,,й,ицІиб
536,"ПОЛНЫЙ, СЫТЫЙ (о людях и животных)",3.0,,,b,uc'ib,,,б,уцІиб
536,"ПОЛНЫЙ, СЫТЫЙ (о людях и животных)",4.0,,,b,uc'ib,,,б,уцІиб
536,"ПОЛНЫЙ, СЫТЫЙ (о людях и животных)",5.0,,,r,uc'ib,,,р,уцІиб
538,ЖИРНЫЙ (О ЖИВОТНОМ),,čora,,,,чора,,,
539,ЖАДНЫЙ,,q'innib,,,,къинниб,,,
540,ПУСТОЙ,1.0,,,w,oč'ugu,,,в,очІугу
540,ПУСТОЙ,2.0,,,j,eč'ugu,,,й,ечІугу
540,ПУСТОЙ,4.0,,,r,eč'ugu,,,р,ечІугу
541,СУХОЙ,5.0,,,b,eq'ub,,,б,екъуб
541,СУХОЙ,4.0,,,r,eq'ub,,,р,екъуб
542,МОКРЫЙ,,bitom,,,,битом,,,
544,ЖИДКИЙ,,ɬemi,,,,лъеми,,,
545,ГРЯЗНЫЙ,,qubi,,,,хъуби,,,
546,ЧИСТЫЙ,1.0,,,w,orc':om,,,в,орцІцІом
546,ЧИСТЫЙ,2.0,,,j,erc':om,,,й,ерцІцІом
547,КРИВОЙ,,ɢᵂonč'il,,,,къгвончІил,,,
548,ПРЯМОЙ,1.0,,,w,ut'i,,,в,утІи
548,ПРЯМОЙ,2.0,,,j,it'i,,,й,итІи
549,МЯГКИЙ,,ɬuna,,,,лъуна,,,
550,ТВЕРДЫЙ,,beš:ja,,,,бещйа,,,
551,ТЕПЛЫЙ,,ons:a,,,,онсса,,,
552,ХОЛОДНЫЙ,,sodo,,,,содо,,,
553,НОВЫЙ,,c'iw,,,,цІив,,,
554,СТАРЫЙ (о предмете),3.0,,,b,oχor,,,б,охор
555,ПРАВЫЙ,,hanč':il,,,,гьанчІчІил,,,
556,ЛЕВЫЙ,,kač'il,,,,качІил,,,
557,ПОХОЖИЙ,1.0,,a,w,ɬin,,а,в,лъин
557,ПОХОЖИЙ,2.0,,a,j,ɬin,,а,й,лъин
557,ПОХОЖИЙ,3.0,,a,b,ɬin,,а,б,лъин
557,ПОХОЖИЙ,4.0,,a,b,ɬin,,а,б,лъин
557,ПОХОЖИЙ,5.0,,a,r,ɬin,,а,р,лъин
444,СВЕТ (светлый),,kᵂanorɬir,,,,кванорлъир,,,
