id,rus,type,no_class_stem,affix,stem,no_class_stem_cyr,affix_cyr,stem_cyr
489,ЗДЕСЬ,,honoɬ:u,,,гьонолълъу,,
490,ТАМ ( ~ наравне с говорящим),,hudu,,,гьуду,,
490,ТАМ ( ~ наравне с говорящим),,hinĩdiɬ:u,,,гьиниᵸдилълъу,,
490,ТАМ ( ~ наравне с говорящим),,hunudoɬ:u,,,гьунудолълъу,,
490,ТАМ ( ~ выше говорящего),,huɬu,,,гьулъу,,
490,ТАМ ( ~ выше говорящего),,hunuɬoɬ:u,,,гьунулъолълъу,,
490,ТАМ ( ~ ниже говорящего),,hiƛ'u,,,гьикьу,,
491,ВВЕРХУ,,hila,,,гьила,,
492,ВНИЗУ,,hiƛ'u,,,гьикьу,,
493,ВПЕРЕДИ,,s:edu,,,сседу,,
494,СЗАДИ,1.0,,w,oχudu,,в,охуду
494,СЗАДИ,2.0,,j,eχudu,,й,ехуду
494,СЗАДИ,,miʁulla,,,мигъулла,,
495,ВНУТРИ,,hinu,,,гьину,,
496,МЕЖДУ,1.0,,w,oƛ'u,,в,окьу
496,МЕЖДУ,2.0,,j,oƛ'u,,й,окьу
497,ДАЛЕКО,,lelo,,,лело,,
498,БЛИЗКО,,ƛeru,,,лІеру,,
499,СЕГОДНЯ,,žeɬal,,,желъал,,
500,ВЧЕРА,,sun,,,сун,,
501,ЗАВТРА,,šela,,,шела,,
502,БЫСТРО,,χ:eχ:i,,,ххеххи,,
503,МЕДЛЕННО,,baʁuhalla,,,багъугьалла,,
504,МНОГО ( ~ об исчисляемых объектах),1.0,,w,uholgu,,в,угьолгу
504,МНОГО ( ~ об исчисляемых объектах),2.0,,j,iholgu,,й,игьолгу
504,МНОГО ( ~ об исчисляемых объектах),3.0,,b,ihoglu,,б,игьоглу
504,МНОГО ( ~ об исчисляемых объектах),4.0,,b,ihoglu,,б,игьоглу
504,МНОГО ( ~ об исчисляемых объектах),5.0,,r,ihoglu,,р,игьоглу
504,МНОГО ( ~ о неисчисляемых объектах),1.0,,b,ihugu,,б,игьугу
504,МНОГО ( ~ о неисчисляемых объектах),2.0,,j,ihugu,,й,игьугу
505,МАЛО ( ~ об исчисляемых объектах),,mič'olgu,,,мичІолгу,,
505,МАЛО ( ~ о неисчисляемых объектах),,amič'igu,,,амичІигу,,
506,ОЧЕНЬ,,zologu,,,зологу,,
27,ПОДМЫШКА (под мышкой),,ɢᵂaƛ'u,,,къгвакьу,,
448,ВЕСНА (весной),,rejba,,,рейба,,
449,ЛЕТО (летом),,q'ina,,,къина,,
450,ОСЕНЬ (осенью),,sibira,,,сибира,,
451,ЗИМА (зимой),,ƛ'ina,,,кьина,,
453,НОЧЬ (вечером),,heč'eɢido,,,гьечІекъгидо,,
454,УТРО (утром),,oχ:od:oro,,,охходдоро,,
